46,Shirdi Sai Baba,2001,Drama | Mystery,Sudhir Dalvi | Dharmendra | Vikram Gokhale | Rohini Hattangadi,1
47,Bollywood Bound,2003,Documentary,Neeru Bajwa | Ruby Bhatia | Vekeana Dhillon | Vikram Dhillon,1
48,Company,2002,Action | Crime | Thriller,Ajay Devgn | Mohanlal | Manisha Koirala | Seema Biswas,4
49,Ittefaq,2001,Action | Drama | Thriller,Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma,1
50,Yeh Teraa Ghar Yeh Meraa Ghar,2001,Comedy | Drama,Sunil Shetty | Mahima Chaudhry | Paresh Rawal | Saurabh Shukla,2
51,Yeh Zindagi Ka Safar,2001,Drama,Ameesha Patel | Jimmy Shergill | Nafisa Ali | Gulshan Grover,1
52,Rehnaa Hai Terre Dil Mein,2001,Musical,Madhavan | Saif Ali Khan | Dia Mirza | Vrajesh Hirjee,2
53,Indian,2001,Action | Crime | Drama,Malaika Arora | Raj Babbar | Rana Jung Bahadur | Balwant Bansal,6
54,Deewaanapan,2001,Romance |Drama,Arjun Rampal | Dia Mirza | Vinod Khanna | Om Puri,2
55,Moksha: Salvation,2001,Drama | Thriller,Arjun Rampal | Manisha Koirala | Kalpana Pandit | Suresh Oberoi,1
56,Tera Mera Saath Rahen,2001,Drama,Ajay Devgn | Sonali Bendre | Namrata Shirodkar | Prem Chopra,1
57,Ehsaas: The Feeling,2001,Drama,Anand Raj Anand | Sunidhi Chauhan | Nagesh Haldankar | Shakti Kapoor,1
58,Veer Savarkar,2001,Biography | Drama,Shailendra Gaur | Pankaj Berry | Tom Alter | Hemant Birje,1
59,Aamdani Atthanni Kharcha Rupaiya,2001,Comedy,Govinda | Juhi Chawla | Tabu | Chandrachur Singh,3
60,Pitaah,2002,Action | Drama,Sanjay Dutt | Nandita Das | Sachin Khedekar | Tanvi Hegde,2
61,Aankhen,2002,Comedy | Thriller | Crime,Amitabh Bachchan | Akshay Kumar | Sushmita Sen | Arjun Rampal,4
62,Koi Mere Dil Se Poochhe,2002,Musical | Romance | Thriller,Jaya Bhaduri | Aftab Shivdasani | Sanjay Kapoor | Juliet Alburque,2
63,Style,2001,Musical | Comedy,Sharman Joshi | Sahil Khan | Riya Sen | Shillpi Sharma,5
64,Maa Tujhhe Salaam,2002,Action | Drama,Sunny Deol | Tabu | Arbaaz Khan | Tinnu Verma,3
65,Yeh Dil Aashiqanaa,2002,Action | Romance,Jividha Sharma | Mohan Azaad | Arun Bakshi | Rajat Bedi,4
66,Filhaal...,2002,Drama,Tabu | Sushmita Sen | Sanjay Suri | Palash Sen,1
67,Haan Maine Bhi Pyaar Kiya,2002,Musical | Romance,Akshay Kumar | Karisma Kapoor | Abhishek Bachchan | Kader Khan,2
68,Yeh Mohabbat Hai,2002,Action | Romance,Akanksha Malhotra | Rahul Bhat | Nasir Khan | Pinky Campbell,1
69,Tumko Na Bhool Paayenge,2002,Action | Drama | Mystery,Salman Khan | Sushmita Sen | Dia Mirza | Sharat Saxena,2
70,Kranti,2002,Drama,Vinod Khanna | Bobby Deol | Ameesha Patel | Rati Agnihotri,2
71,Escape from Taliban,2003,Drama | Thriller | War,Manisha Koirala | Nawab Shah | Vineeta Malik | Prithvi Zutshi,1
72,Kya Yehi Pyaar Hai,2002,Comedy | Musical | Romance,Jackie Shroff | Aftab Shivdasani | Ameesha Patel | Anupama Verma,4
73,Kitne Door... Kitne Paas,2002,Comedy | Romance,Fardeen Khan | Amrita Arora | Satish Shah | Tiku Talsania,1
74,Vadh,2002,Mystery | Thriller,Nana Patekar | Anupama Verma | Puru Rajkumar | Nakhul,1
76,Dum,2003,Crime,Vivek Oberoi | Dia Mirza | Atul Kulkarni | Mukesh Rishi,2
77,Durga,2002,Action |Crime,J.D. Chakravarthi | Snehal Dabi | Jayaprakash | Priyanka,1
78,Humko Tumse Pyaar Hai,2006,Romance | Thriller,Arjun Rampal | Ameesha Patel | Bobby Deol | Achint Kaur,1
79,Road,2002,Thriller,Manoj Bajpayee | Vivek Oberoi | Antara Mali | Sayaji Shinde,3
80,Angaar: The Fire,2002,Action,Vinay Anand | Rana Jung Bahadur | Rajat Bedi | Sanober Kabir,1
81,Ansh: The Deadly Part,2002,Musical | Action,Om Puri | Ashutosh Rana | Abbas | Sharbani Mukherji,1
82,Lal Salaam,2002,Musical | Action | Drama,Nandita Das | Sharad S. Kapoor | Makrand Deshpande | Vijay Raaz,1
83,Yeh Kaisi Mohabbat,2002,Musical | Drama | Romance,Krishna Abhishek | Viveka Babajee | Sheeba Bhakri | Deeksha,1
